"titulo","resumen","enlace","fecha","imagen","autor"
"Hello wasm-pack!","Introducing wasm-pack, a new tool for assembling and packaging Rust crates that target WebAssembly. These packages can be published to the npm Registry and used alongside other packages. This means you can use them side-by-side with JS and other packages, and in many kind of applications.","https://hacks.mozilla.org/2018/04/hello-wasm-pack/","April 18, 2018","https://secure.gravatar.com/avatar/4a0a66f702a758bb09cda6868068da84?s=72&d=mm&r=g","Ashley Williams"
"A new video series: Web Demystified","This post introduces Web Demystified, a new video series targeting web makers -- everyone who builds things for the web: designers, developers, project and team managers, students, hobbyists, and experts. Our goal is to provide basic information for beginners, with subject matter that will also serve as a refresher on web fundamentals - beginning with episodes that describe the web itself, and HTML, its first language.","https://hacks.mozilla.org/2018/04/a-new-video-series-web-demystified/","April 17, 2018","https://secure.gravatar.com/avatar/f208c4da372c882c5fb4f68036af012f?s=72&d=mm&r=g","Jeremie Patonnier"
"Build your own web things with the Things Framework","Last year Mozilla started Project Things to help developers connect physical “things” to the web in a safe, secure and interoperable way. Now, with the 0.4 release of the Things Gateway, you can add native web things to your gateway, to control them alongside all your other smart home devices. The advantage of native web things is that they don’t need a custom gateway adapter because they follow a common standard using existing web technologies.","https://hacks.mozilla.org/2018/04/build-your-own-web-things-with-the-things-framework/","April 16, 2018","https://secure.gravatar.com/avatar/ee50f5090a01cb035d3dc26590d2c88b?s=72&d=mm&r=g","Ben Francis"
"Sneak Peek at WebAssembly Studio","WebAssembly.Studio is an online IDE (integrated development environment) that helps you learn and teach others. It’s also a Swiss Army knife that comes in handy whenever working with WebAssembly (WASM). WebAssembly is a low-level assembly-like language that runs with near-native performance and provides languages such as C/C++/Rust with a compilation target so that they can run on the web. WASM is also designed to run alongside JavaScript.","https://hacks.mozilla.org/2018/04/sneak-peek-at-webassembly-studio/","April 11, 2018","https://secure.gravatar.com/avatar/4a49b5362749d9f0131183b5270cc63f?s=72&d=mm&r=g","Michael Bebenita"
"MDN Changelog for March 2018","Publishing a changelog is a tradition in open source, and a long-time practice on the web. In this changelog, MDN engineers report on what happened in March to the code, data, and tools that support MDN Web Docs, and look ahead to what's on plan for this month. Learn more about the work of the MDN engineering team and their impact, and discover opportunities to participate in building and supporting MDN Web Docs and the open web platform.","https://hacks.mozilla.org/2018/04/mdn-changelog-for-march-2018/","April 6, 2018","https://secure.gravatar.com/avatar/407b6d5f947839ed95bc42be4cdcf5d9?s=72&d=mm&r=g","John Whitlock"
"What Makes a Great Extension?","We’re in the middle of our Firefox Quantum Extensions Challenge so we’ve been pondering what makes a great extension. Great browser extensions add functionality and fun to Firefox, but there’s more to it than that. They’re easy to use, easy to understand, and easy to find. If you’re building an extension, Dustin Driver offers some simple steps to help it shine. The Quantum Extensions Challenge is running until April 15, 2018. Prizes will be awarded to the top extensions in three categories: Games & Entertainment, Dynamic Themes, and Tab Manager/Organizer. Enter today and keep making awesome extensions!","https://hacks.mozilla.org/2018/04/what-makes-a-great-extension/","April 5, 2018","https://secure.gravatar.com/avatar/a3ac4a5533573445ac5525a8c491e099?s=72&d=mm&r=g","Dustin Driver"
"JavaScript to Rust and Back Again: A wasm-bindgen Tale","Recently we’ve seen how WebAssembly is incredibly fast to compile, speeding up JS libraries, and generating even smaller binaries. We’ve even got a high-level plan for better interoperability between the Rust and JavaScript communities, as well as other web programming languages. The goal of wasm-bindgen is to provide a bridge between the types of JavaScript and Rust. It allows JS to call a Rust API with a string, or a Rust function to catch a JS exception. wasm-bindgen erases the impedance mismatch between WebAssembly and JavaScript, ensuring that JavaScript can invoke WebAssembly functions efficiently and without boilerplate, and that WebAssembly can do the same with JavaScript functions.","https://hacks.mozilla.org/2018/04/javascript-to-rust-and-back-again-a-wasm-bindgen-tale/","April 4, 2018","https://secure.gravatar.com/avatar/1f4f7c83fe339aff733e3987163b5cd8?s=72&d=mm&r=g","Alex Crichton"
"Hack on MDN: Building useful tools with browser compatibility data","The MDN team is migrating browser compatibility data into a JSON database to make it more useful and extensible for web developers. On a recent weekend in Paris, a group of Mozillians and friends gathered to work on projects to improve and extend the BCD data. The Hack on MDN event combined unconference and hackathon; participants pitched projects and committed to working on concrete tasks. Check out the brilliant results of their collaboration.","https://hacks.mozilla.org/2018/03/hack-on-mdn-building-useful-tools-with-browser-compatibility-data/","March 29, 2018","https://secure.gravatar.com/avatar/207b5c08996af4ddcd146f10717d38ed?s=72&d=mm&r=g","Jean-Yves Perrier"
"ES modules: A cartoon deep-dive","ES modules bring an official, standardized module system to JavaScript. With the release of Firefox 60 in May, all major browsers will support ES modules, and there is current work to add ES module support to Node.js, as well as ES module integration for WebAssembly. Lin Clark's deep dive illustrates how ES modules work, what problem they solve, and how they are different from modules in other module systems.","https://hacks.mozilla.org/2018/03/es-modules-a-cartoon-deep-dive/","March 28, 2018","https://hacks.mozilla.org/wp-content/uploads/2019/08/linclark_headshot-72x72.jpeg","Lin Clark"
"Shipping a security update of Firefox in less than a day","One of Mozilla’s top priorities is to keep our users safe; this commitment is written into our mission. As soon as we discover a critical issue in Firefox, we plan a rapid mitigation. This post describes how we fixed a Pwn2Own exploit discovery and released new builds of the browser in less than 22 hours, through the collaborative and well-coordinated efforts of a global cross-functional team.","https://hacks.mozilla.org/2018/03/shipping-a-security-update-of-firefox-in-less-than-a-day/","March 22, 2018","https://secure.gravatar.com/avatar/03c6ad7cd8eb0496b53d7a86ccf8c8f6?s=72&d=mm&r=g","Sylvestre Ledru"
"Bringing interactive examples to MDN","Over the last year and a bit, the MDN Web Docs team has been designing, building, and implementing interactive examples for our reference pages. The motivation was to do more on MDN for people who like to learn by seeing and playing around with example code. We've just finished adding interactive examples for the JavaScript and CSS reference pages. This post looks back at the project to see how we got here and what we learned on the way.","https://hacks.mozilla.org/2018/03/bringing-interactive-examples-to-mdn/","March 20, 2018","https://secure.gravatar.com/avatar/576b94c81f8ad97e58d63f12e5fdb00c?s=72&d=mm&r=g","Will Bamberg"
"Firefox Quantum Extensions Challenge","Seeking great new extensions for the Firefox Quantum Extensions Challenge! Between March 15 and April 15, 2018, use Firefox Developer Edition to create extensions that make full use of available WebExtensions APIs for one of the prize categories. (Legacy extensions that have been updated to WebExtensions APIs, or Chrome extensions that have been ported to Firefox on or after January 1, 2018, are also eligible for this challenge.)","https://hacks.mozilla.org/2018/03/firefox-quantum-extensions-challenge/","March 15, 2018","https://secure.gravatar.com/avatar/04780e375a532aeb20ec1365ce163109?s=72&d=mm&r=g","Mike Conca"
"Making WebAssembly better for Rust & for all languages","To be a useful as a web language, Rust needs to work well with the JavaScript ecosystem. We have some work to do to get there, and fortunately that work will help other languages, too. Lin Clark's code cartoons explore some of the WebAssembly usability challenges that we need to tackle. Want to help?","https://hacks.mozilla.org/2018/03/making-webassembly-better-for-rust-for-all-languages/","March 14, 2018","https://hacks.mozilla.org/wp-content/uploads/2019/08/linclark_headshot-72x72.jpeg","Lin Clark"
"Hands-On Web Security: Capture the Flag with OWASP Juice Shop","A CTF (Capture the Flag) event is a type of security challenge or competition that can be used to teach or test online security. In this post, Mozilla security engineer and OWASP developer Simon Bennetts describes a recent CTF he hosted at a Mozilla event, and how to set up your own web security CTF with OWASP Juice Shop.","https://hacks.mozilla.org/2018/03/hands-on-web-security-capture-the-flag-with-owasp-juice-shop/","March 8, 2018","https://secure.gravatar.com/avatar/e1ecdd76c9fe0ae3ef1397787a126148?s=72&d=mm&r=g","Simon Bennetts"
"Building an Immersive Game with A-Frame and Low Poly Models","In the first part of this two-part tutorial, Josh Marinacci builds an immersive WebVR game using A-Frame, and walks through the key concepts and code for adding a physics engine, managing collisions, and adding 3d models and effects.","https://hacks.mozilla.org/2018/03/immersive-aframe-low-poly/","March 7, 2018","https://secure.gravatar.com/avatar/b3ca4ba51e765179b4687fc145d4c9d3?s=72&d=mm&r=g","Josh Marinacci"
"Building an Immersive Game with A-Frame and Low Poly Models (Part 2)","In Part 2 of this two-part tutorial on using A-Frame to build an immersive game, Josh Marinacci shows how to add lighting, audio, responsiveness and polish to the simple game he developed in Part 1.","https://hacks.mozilla.org/2018/03/immersive-aframe-low-poly-part2/","March 7, 2018","https://secure.gravatar.com/avatar/b3ca4ba51e765179b4687fc145d4c9d3?s=72&d=mm&r=g","Josh Marinacci"
"How to Write CSS That Works in Every Browser, Even the Old Ones","Jen Simmons' seven-part mini-series on resilient CSS and how you can create great graphic design on the web, now, and not have to worry about all the old browsers.","https://hacks.mozilla.org/2018/03/how-to-write-css-that-works-in-every-browser-even-the-old-ones/","March 5, 2018","https://hacks.mozilla.org/wp-content/uploads/2016/08/Jen-Simmons_avatar_1471386559-72x72.jpg","Jen Simmons"
"It’s Resilient CSS Week","Jen Simmons celebrates resilient CSS and shows you how it's done, in this week's Layout Land video series. Check out the opening episodes: ""Introduction to Resilient CSS"" and ""Can I use this CSS?"" both available now.","https://hacks.mozilla.org/2018/02/its-resilient-css-week/","February 26, 2018","https://hacks.mozilla.org/wp-content/uploads/2016/08/Jen-Simmons_avatar_1471386559-72x72.jpg","Jen Simmons"
"Making a Clap-Sensing Web Thing","The Project Things Gateway exists as a platform to bring all of your IoT devices together under a unified umbrella, using a standardized HTTP-based API. We recently announced the Things Gateway and we’ve started a series of hands-on project posts for people who want to set up a Gateway and explore. In this post we’ll take what we’ve learned so far and build a real add-on for the Gateway. This add-on will provide a clap-sensing Web Thing that we can use to control our lights and other devices.","https://hacks.mozilla.org/2018/02/making-a-clap-sensing-web-thing/","February 22, 2018","https://secure.gravatar.com/avatar/0a21dac3ca00764d4a54f7955ef5d277?s=72&d=mm&r=g","James Hobin"
"Create VR on the Web using Unity3D","Mozilla's WebVR team has just released Unity WebVR Assets. It is free to download and available now on the Unity Asset Store. This tool allows creators to publish and share VR experiences they created in Unity on the open web, with a simple URL or link. These experiences can then be viewed with any WebVR enabled browser such as Firefox (using the Oculus Rift or HTC VIVE) and Microsoft Edge (using a Windows Mixed Reality headset).","https://hacks.mozilla.org/2018/02/create-vr-on-the-web-using-unity3d/","February 15, 2018","https://secure.gravatar.com/avatar/d072771f490bc3c023c1ae3092281ccb?s=72&d=mm&r=g","Casey Yee"
"CSS Grid for UI Layouts","In this article I’ll show you how to use CSS Grid to improve application layouts that need to respond and adapt to user interactions and changing conditions, and always have your panels scroll properly.","https://hacks.mozilla.org/2018/02/css-grid-for-ui-layouts/","February 14, 2018","https://secure.gravatar.com/avatar/b3ca4ba51e765179b4687fc145d4c9d3?s=72&d=mm&r=g","Josh Marinacci"
"Creating an Add-on for the Project Things Gateway","The Project Things Gateway exists as a platform to bring all of your IoT devices together under a unified umbrella, using a standardized HTTP-based API. Currently, the platform only has support for a limited number of devices, and we need your help expanding our reach! Looking for a weekend project? It is fairly straightforward to add support for new devices, and we will walk you through how to do so.","https://hacks.mozilla.org/2018/02/creating-an-add-on-for-the-project-things-gateway/","February 8, 2018","https://secure.gravatar.com/avatar/0a21dac3ca00764d4a54f7955ef5d277?s=72&d=mm&r=g","James Hobin"
"Forging Better Tools for the Web","2017 was a big year for Firefox DevTools. We updated and refined the UI, refactored three of the panels, squashed countless bugs, and shipped several new features. This work not only provides a faster and better DevTools experience, but lays the groundwork for some exciting new features and improvements for 2018 and beyond.","https://hacks.mozilla.org/2018/02/forging-better-tools-for-the-web/","February 7, 2018","https://secure.gravatar.com/avatar/a3ac4a5533573445ac5525a8c491e099?s=72&d=mm&r=g","Dustin Driver"
"How to build your own private smart home with a Raspberry Pi and Mozilla’s Things Gateway","Last year we announced Project Things by Mozilla. Project Things is a framework of software and services that can bridge the communication gap between connected devices by giving “things” URLs on the web. Today I’m excited to tell you about the latest version of the Things Gateway and how you can use it to directly […]","https://hacks.mozilla.org/2018/02/how-to-build-your-own-private-smart-home-with-a-raspberry-pi-and-mozillas-things-gateway/","February 6, 2018","https://secure.gravatar.com/avatar/ee50f5090a01cb035d3dc26590d2c88b?s=72&d=mm&r=g","Ben Francis"
"MDN browser compatibility data: Taking the guesswork out of web compatibility","The most powerful aspect of the web is also what makes it so challenging to build for: its universality. When you create a website, you’re writing code that needs to be understood by a plethora of browsers on different devices and operating systems. To allow for browser compatibility data to be accessed programmatically rather than requiring developers to manually search for it, the MDN community is working on migrating the compatibility information currently stored on thousands of wiki pages to a machine-readable JSON format in a GitHub repository.","https://hacks.mozilla.org/2018/02/mdn-browser-compatibility-data/","February 1, 2018","https://secure.gravatar.com/avatar/e512071de0dba8034350e20f87e50e66?s=72&d=mm&r=g","Florian Scholz"
"Where’s Rust headed in 2018? Ask the community.","Rust project leaders are setting the 2018 roadmap based on community input. The priority? Make Rust easier to learn, and make its developers more productive. Expect a major update to the open source systems programming language later this year.","https://hacks.mozilla.org/2018/01/rust-community-roadmap-2018/","January 31, 2018","https://hacks.mozilla.org/wp-content/uploads/2017/12/Judy-DeMocker_avatar_1512521150-72x72.jpg","Judy McConnell"
"Shrinking WebAssembly and JavaScript code sizes in Emscripten","Emscripten is a compiler toolchain for asm.js and WebAssembly which lets you run C and C++ on the web at near-native speed. Emscripten output sizes have decreased a lot recently, especially for smaller programs. Alon Zakai takes a closer look at some of these optimizations and new areas for improvement.","https://hacks.mozilla.org/2018/01/shrinking-webassembly-and-javascript-code-sizes-in-emscripten/","January 30, 2018","https://secure.gravatar.com/avatar/eb99fcafb63ef68fdb19a269f4d3e3eb?s=72&d=mm&r=g","Alon Zakai"
"A rule-based framework to create dynamic themes","One issue with dynamic theming API compared to traditional CSS theming is that it requires familiarity with JavaScript and WebExtension APIs to make a basic dynamic theme. To address this problem, I have experimented with a simple system that enables dynamic theming using simple theming “rules”. A “rule” consists of a JavaScript condition string paired with a theme name. The boilerplate I've built takes care of the heavy-lifting needed by dynamic themes in order to set up WebExtension listeners, hooking with other APIs — to let you focus on the dynamic theming part.","https://hacks.mozilla.org/2018/01/a-rule-based-framework-to-create-dynamic-themes/","January 29, 2018","https://secure.gravatar.com/avatar/a473c568e6e2eaa6d7048087a95a44af?s=72&d=mm&r=g","Tim Nguyen"
"Lessons learned from the A-Frame category in the js13kGames competition","With the Global Game Jam weekend ahead, it’s a great time to consider building with WebVR and A-Frame. The js13kGames 2017 competition ended back in September last year, but the game devs who built playable WebVR entries limited to just 13 kilobytes learned a lot along the way. Here's a look at their learnings - and their code! And if you're looking for a new 3D challenge – Mozilla recently launched the WebVR Medieval Fantasy Experience Challenge, which is open now till the end of February.","https://hacks.mozilla.org/2018/01/lessons-learned-from-the-a-frame-category-in-the-js13kgames-competition/","January 25, 2018","https://secure.gravatar.com/avatar/a84d365d52c5f58dd52ed9dc1583f55d?s=72&d=mm&r=g","Andrzej Mazur"
"Introducing the MDN Product Advisory Board: actions and impressions from our first meeting","A report from the first in-person meeting of the MDN Product Advisory Board (PAB) held earlier this month. The goal of the MDN Product Advisory Board is to provide guidance that helps MDN be the best reference for web developers. In 2018, MDN users can look forward to a renewed focus on interactive samples and ongoing work around the MDN compatibility data project. Want to get more involved?","https://hacks.mozilla.org/2018/01/introducing-the-mdn-product-advisory-board/","January 23, 2018","https://secure.gravatar.com/avatar/401943669c4af295f5b2c99f90dd221a?s=72&d=mm&r=g","Ali Spivak"
"Firefox 58: The Quantum Era Continues","2017 was a big year for Mozilla, culminating in the release of Firefox Quantum, a massive multi-year re-tooling of the browser focused on speed, and laying the groundwork for 2018 releases. Here's a roundup of some of the goodies in Firefox 58: including Off-Main-Thread Painting (OTMP) and other Gecko engine performance improvements, new support for CSS `font-display`, new Add to Home screen support in Firefox for Android, and more.","https://hacks.mozilla.org/2018/01/firefox-58-the-quantum-era-continues/","January 23, 2018","https://secure.gravatar.com/avatar/?s=72&d=mm&r=g","Autor no disponible"
"Paying it forward at Global Diversity CFP Day","Global Diversity CFP Day takes place on Saturday, February 3, 2018. It’s a decentralized, locally organized free event that's a safe space for people to get started as technical conference speakers. The workshop is designed to help you craft and submit a talk proposal to an event with an open CFP and a stated Code of Conduct. Especially designed for people who are typically under-represented at tech events, free workshops will take place on the same day at dozens of locations all over the planet","https://hacks.mozilla.org/2018/01/paying-it-forward-at-global-diversity-cfp-day/","January 21, 2018","https://secure.gravatar.com/avatar/?s=72&d=mm&r=g","Autor no disponible"
"Oxidizing Source Maps with Rust and WebAssembly","A detailed look at how we replaced the most performance-sensitive portions of the source-map JavaScript Library’s source map parser with Rust code that is compiled to WebAssembly. The results: The WebAssembly is up to 5.89 times faster than the JavaScript implementation on realistic benchmarks operating on real world source maps! Additionally, performance is also more consistent: relative standard deviations decreased. We hope that, by sharing our experience, we inspire others rewrite performance-sensitive JavaScript in Rust via WebAssembly.","https://hacks.mozilla.org/2018/01/oxidizing-source-maps-with-rust-and-webassembly/","January 18, 2018","https://secure.gravatar.com/avatar/c06f47a89886d2056c8e3c7757632d1b?s=72&d=mm&r=g","Nick Fitzgerald"
"Making WebAssembly even faster: Firefox’s new streaming and tiering compiler","People call WebAssembly a game changer because it makes it possible to run code on the web faster. Some speedups are already present, and some are yet to come. With streaming compilation, the browser compiles the code while the code is still being downloaded. Up until now, this was just a potential future speedup. But with the release of Firefox 58 next week, it becomes a reality. Firefox 58 also includes a new 2-tiered compiler. The new baseline compiler compiles code 10–15 times faster than the optimizing compiler. Combined, these two changes mean we compile code faster than it comes in from the network.","https://hacks.mozilla.org/2018/01/making-webassembly-even-faster-firefoxs-new-streaming-and-tiering-compiler/","January 17, 2018","https://hacks.mozilla.org/wp-content/uploads/2019/08/linclark_headshot-72x72.jpeg","Lin Clark"
"Using Hardware Token-based 2FA with the WebAuthn API","To provide higher security for logins, websites are deploying two-factor authentication (2FA), often using a smartphone application or text messages. Those mechanisms make phishing harder but fail to prevent it entirely. Firefox 60 will ship with the WebAuthn API enabled by default, providing two-factor authentication built on public-key cryptography immune to phishing as we know it today. The API is available today in Firefox Nightly, and it's not too soon to start learning how to secure millions of users already in possession of FIDO U2F USB tokens.","https://hacks.mozilla.org/2018/01/using-hardware-token-based-2fa-with-the-webauthn-api/","January 16, 2018","https://secure.gravatar.com/avatar/64eb1412c9354cf356df31936368cdac?s=72&d=mm&r=g","J.C. Jones"
"New flexbox guides on MDN","With Flexbox and Grid, plus the related specifications of Box Alignment and Writing Modes, we have new layout models for the web, which have been designed to enable the types of layouts we need to create. Whether your interest is in being able to implement more creative designs, or simply to streamline development of complex user interfaces Rachel Andrews' thoughtful materials will help you to gain a thorough understanding of the power of Flexbox and Grid working together.","https://hacks.mozilla.org/2018/01/new-flexbox-guides-on-mdn/","January 4, 2018","https://secure.gravatar.com/avatar/c96ed27286a51ae9d0951066c1d75579?s=72&d=mm&r=g","Rachel Andrew"
"Actual Input Latency: cross-browser measurement and the Hasal testing framework","Editor’s Note: This post is also featured on the 2017 Performance Calendar. This is a story about an engineering team at Mozilla, based in Taipei, that was tasked with measuring performance and solving some specific performance bottlenecks in Firefox. It is also a story about user-reported performance issues that were turned into actionable insights. It […]","https://hacks.mozilla.org/2017/12/actual-input-latency-and-the-hasal-testing-framework/","December 13, 2017","https://secure.gravatar.com/avatar/6a300bb55064fc15572996ac216d8d4d?s=72&d=mm&r=g","Shako Ho"
"A Classic Extension Reborn: Tree Style Tab","Yuki “Piro” Hiroshi is a trailblazer and a true do-it-yourselfer. Whenever the Tokyo-based programmer gets irritated with any aspect of his browsing experience, he builds a workaround for himself and shares it with others. After authoring nearly 100 browser extensions, Piro recently took on his biggest challenge yet: migrating the legacy Tree Style Tab (TST) extension to work with the new WebExtensions API and Firefox Quantum.","https://hacks.mozilla.org/2017/12/webextension-tree-style-tab/","December 6, 2017","https://hacks.mozilla.org/wp-content/uploads/2017/12/Judy-DeMocker_avatar_1512521150-72x72.jpg","Judy McConnell"
"Using Headless Mode in Firefox","Browser automation is not a new idea, but is an increasingly important part of how modern websites are built, tested, and deployed. Firefox now has support for headless mode, making it easier to use as a backend to automated tools. Learn how to work with headless mode in Firefox.","https://hacks.mozilla.org/2017/12/using-headless-mode-in-firefox/","December 5, 2017","https://secure.gravatar.com/avatar/?s=72&d=mm&r=g","Autor no disponible"
"Using the new theming API in Firefox","Explore the new theming API for Firefox Quantum, and see what you can do with lightweight theming, dynamic themes, per-window themes, and a quick look at what's next for themes in 2018.","https://hacks.mozilla.org/2017/12/using-the-new-theming-api-in-firefox/","December 4, 2017","https://secure.gravatar.com/avatar/a473c568e6e2eaa6d7048087a95a44af?s=72&d=mm&r=g","Tim Nguyen"
"A Journey to <10% Word Error Rate","At Mozilla, we believe speech interfaces will be a big part of how people interact with their devices in the future. Today we are excited to announce the initial release of our open source speech recognition model so that anyone can develop compelling speech experiences.","https://hacks.mozilla.org/2017/11/a-journey-to-10-word-error-rate/","November 29, 2017","https://secure.gravatar.com/avatar/a0806241b0bfd0b4339c8d987d98b6db?s=72&d=mm&r=g","Reuben Morais"
"DASH playback of AV1 video in Firefox","Bitmovin and Mozilla, both members of the Alliance for Open Media (AOM), are partnering to bring AV1 playback with HTML5 to Firefox as the first browser to play AV1 MPEG-DASH/HLS streams. To make playback possible while the AV1 bitstream is still being finalized, we just need to ensure that the encoder and decoder use the same version of the bitstream. Bitmovin and Mozilla agreed on a simple, but for the time being useful, codec string, to ensure compatibility - check out the playback demo to see for yourself.","https://hacks.mozilla.org/2017/11/dash-playback-of-av1-video/","November 28, 2017","https://hacks.mozilla.org/wp-content/uploads/2017/11/Ralph-Giles_avatar_1511204491-72x72.jpeg","Ralph Giles"
"New in Firefox 58: Developer Edition","Dive into the changes coming in Firefox 58, currently available to preview in Firefox Developer Edition. Highlights include more control for CSS authors, an even better Debugger, added support for WebVR and FLAC, WebExtension API additions, and more.","https://hacks.mozilla.org/2017/11/new-in-firefox-58-developer-edition/","November 21, 2017","https://secure.gravatar.com/avatar/a2746e0bf42c3245bfd80dea9b3efb32?s=72&d=mm&r=g","Dan Callahan"
"Comparing Browser Page Load Time: An Introduction to Methodology","On blog.mozilla.org, we shared results of a speed comparison study to show how fast Firefox Quantum with Tracking Protection enabled is compared to other browsers. In this companion post, we share some insights into the methodology behind these page load time comparison studies and benchmarks. Our study focused on news web sites, which tend to come with an abundance of trackers, and uses the Navigation Timing API as a data source.","https://hacks.mozilla.org/2017/11/comparing-browser-page-load-time-an-introduction-to-methodology/","November 20, 2017","https://secure.gravatar.com/avatar/b82504b36eb2ecadf5fd53a6f8555398?s=72&d=mm&r=g","Dominik Strohmeier"
"A super-stable WebVR user experience thanks to Firefox Quantum","The Quantum release incorporates major optimizations from Quantum Flow, an holistic effort to modernize and improve the foundations of the Firefox web engine by identifying and removing the main sources of jank without rewriting everything from scratch. Quantum Flow has had an important and noticeable effect on WebVR stability and performance, as Salva demonstrates in this article.","https://hacks.mozilla.org/2017/11/a-super-stable-webvr-user-experience-thanks-to-firefox-quantum/","November 16, 2017","https://secure.gravatar.com/avatar/51e4f6459f94a04520ee141daeed3af0?s=72&d=mm&r=g","Salva"
"Entering the Quantum Era—How Firefox got fast again and where it’s going to get faster","Over the past seven months, we’ve been rapidly replacing major parts of the engine, introducing Rust and parts of Servo to Firefox. Plus, we’ve had a browser performance strike force scouring the codebase for performance issues, both obvious and non-obvious. We call this Project Quantum, and the first general release of the reborn Firefox Quantum comes out tomorrow.","https://hacks.mozilla.org/2017/11/entering-the-quantum-era-how-firefox-got-fast-again-and-where-its-going-to-get-faster/","November 13, 2017","https://hacks.mozilla.org/wp-content/uploads/2019/08/linclark_headshot-72x72.jpeg","Lin Clark"
"Go beyond console.log with the Firefox Debugger","console.log is no debugger. It’s great for figuring out what your JavaScript app is up to, but it’s limited to spitting out a minimal amount of information. If your code is complex, you’ll need a proper debugger. That’s why we’ve added a new section to the Firefox Devtools Playground that’s all about debugging, with four basic lessons that use the Firefox Debugger to examine and repair a simple JavaScript to-do app.","https://hacks.mozilla.org/2017/11/go-beyond-console-log-with-the-firefox-debugger/","November 8, 2017","https://secure.gravatar.com/avatar/a3ac4a5533573445ac5525a8c491e099?s=72&d=mm&r=g","Dustin Driver"
"Async Pan/Zoom (APZ) lands in Firefox Quantum","Asynchronous pan and zoom (APZ) is landing in Firefox Quantum, which means jank-free, smooth scrolling for all! Until now, scrolling was part of the main JavaScript thread. This meant that when JavaScript code was being executed, the user could not scroll the page. With APZ, scrolling is decoupled from the JavaScript thread, leading to a smoother scrolling experience, especially in slower devices, like mobile phones.","https://hacks.mozilla.org/2017/11/async-panzoom-apz-lands-in-firefox-quantum/","November 6, 2017","https://secure.gravatar.com/avatar/79da6f98785139726c7c9a5f8abba32f?s=72&d=mm&r=g","Belén Albeza"
"Saying Goodbye to Firebug","The most popular and powerful web development tool. Firebug has been a phenomenal success. Over its 12-year lifespan, the open source tool developed a near cult following among web developers. When it came out in 2005, Firebug was the first tool to let programmers inspect, edit, and debug code right in the Firefox browser.","https://hacks.mozilla.org/2017/10/saying-goodbye-to-firebug/","October 24, 2017","https://secure.gravatar.com/avatar/a7fbd2cc78ba5e80afa63fd52e943eb9?s=72&d=mm&r=g","Jan Honza Odvarko"
"Add Progressive Web Apps to your Home screen in Firefox for Android","Nowadays, practically all websites are built with responsive web design principles at their core: truly a dramatic improvement over yesteryear’s desktop-focused web. Over the last two years, a similar and complementary evolution has been happening: Progressive Web Apps (PWA), an umbrella term for a new set of standardized browser technologies that combine the low-friction nature of the web with the reliability and capabilities we typically associate with native apps, are gaining ground on mobile and desktop.","https://hacks.mozilla.org/2017/10/progressive-web-apps-firefox-android/","October 23, 2017","https://secure.gravatar.com/avatar/868f2d52405da9da10683d6366b4ece8?s=72&d=mm&r=g","Andreas Bovens"
"How we rebuilt the viewsourceconf.org website","There are a lot of interesting challenges when working with legacy code at a large scale, but rebuilding from scratch usually isn’t an option. Recently we had the chance to start fresh and rebuild Mozilla's View Source website for the upcoming conference in London. Here are a few highlights of the architectural decisions we made to make the site faster, more secure, and more reliable.","https://hacks.mozilla.org/2017/10/how-we-rebuilt-the-viewsourceconf-org-website/","October 19, 2017","https://secure.gravatar.com/avatar/adbc1873444409b0b55263fcfb04dc48?s=72&d=mm&r=g","Stephanie Hobson"
"An Introduction to CSS Grid Layout: Part 1","CSS Grid Layout is completely changing the game for web design. It allows us to create complex layouts on the web using simple CSS. Part 1 of this 2-part primer introduces the vocabulary of CSS Grid and the new Firefox DevTools playground, and shows you how to start coding.","https://hacks.mozilla.org/2017/10/an-introduction-to-css-grid-layout-part-1/","October 17, 2017","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"An Introduction to CSS Grid Layout: Part 2","In Part 2 of this 2-part introduction Dan Brown walks you through three different methods for creating the same layout and points you to the Firefox DevTools Playground to continue learning and exploring.","https://hacks.mozilla.org/2017/10/an-introduction-to-css-grid-layout-part-2/","October 17, 2017","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Remaking Lightbeam as a browser extension","You may have heard of browser extensions — the technology for building extensions in Firefox has been modernized to support Web standards, and is one of the reasons why Firefox Quantum will be the fastest and most stable release yet. This post looks at conceptual differences between a browser extension and a traditional web application, illustrated with some practical examples and tips from the author's experience developing Lightbeam.","https://hacks.mozilla.org/2017/10/remaking-lightbeam-as-a-browser-extension/","October 12, 2017","https://secure.gravatar.com/avatar/481c775e9734ef3cda01e858b2c5e5dd?s=72&d=mm&r=g","Bianca Danforth"
"The whole web at maximum FPS: How WebRender gets rid of jank","The Firefox Quantum release is getting close. It brings many performance improvements, including the super fast CSS engine that we brought over from Servo. But there’s another big piece of Servo technology that’s not in Firefox Quantum quite yet, though it’s coming soon. That’s WebRender, which is being added to Firefox as part of the […]","https://hacks.mozilla.org/2017/10/the-whole-web-at-maximum-fps-how-webrender-gets-rid-of-jank/","October 10, 2017","https://hacks.mozilla.org/wp-content/uploads/2019/08/linclark_headshot-72x72.jpeg","Lin Clark"
